DATE,DTB3
2000-01-01,5.5287301587301587
2000-04-01,5.7144444444444444
2000-07-01,6.0193650793650794
2000-10-01,6.0198387096774194
2001-01-01,4.8088709677419355
2001-04-01,3.6553968253968254
2001-07-01,3.2118032786885246
2001-10-01,1.9141935483870968
2002-01-01,1.7206666666666667
2002-04-01,1.7139062500000000
2002-07-01,1.6431250000000000
2002-10-01,1.3425806451612903
2003-01-01,1.1547540983606557
2003-04-01,1.0392063492063492
2003-07-01,0.92828125000000000000
2003-10-01,0.91564516129032258065
2004-01-01,0.91612903225806451613
2004-04-01,1.0788709677419355
2004-07-01,1.4882812500000000
2004-10-01,2.0116129032258065
2005-01-01,2.5436065573770492
2005-04-01,2.8667187500000000
2005-07-01,3.3634375000000000
2005-10-01,3.8262295081967213
2006-01-01,4.3988709677419355
2006-04-01,4.7082539682539683
2006-07-01,4.9068253968253968
2006-10-01,4.9035483870967742
2007-01-01,4.9782258064516129
2007-04-01,4.7375000000000000
2007-07-01,4.3149206349206349
2007-10-01,3.4058064516129032
2008-01-01,2.0583606557377049
2008-04-01,1.6226562500000000
2008-07-01,1.4960937500000000
2008-10-01,0.30709677419354838710
2009-01-01,0.21180327868852459016
2009-04-01,0.17031746031746031746
2009-07-01,0.15984375000000000000
2009-10-01,0.06048387096774193548
2010-01-01,0.10983606557377049180
2010-04-01,0.14828125000000000000
2010-07-01,0.15484375000000000000
2010-10-01,0.13951612903225806452
2011-01-01,0.12677419354838709677
2011-04-01,0.04523809523809523810
2011-07-01,0.02500000000000000000
2011-10-01,0.01475409836065573770
2012-01-01,0.07064516129032258065
2012-04-01,0.08828125000000000000
2012-07-01,0.10158730158730158730
2012-10-01,0.08967213114754098361
2013-01-01,0.08633333333333333333
2013-04-01,0.05156250000000000000
2013-07-01,0.03218750000000000000
